Country,Year,Primary Enrollment rate (% gross),Secondary Enrollment rate (% gross),Tertiary Enrollment rate (% gross)
BRN,2020,98.313866,91.36091,31.9933
BRN,1970,129.56644,53.93954,
BRN,1971,133.05252,55.0728,
BRN,1985,104.42412,63.59003,
BRN,1987,110.75023,,4.34163
BRN,1988,114.0832,,
BRN,1989,118.09213,,
BRN,1996,112.54647,,
BGR,1971,105.83178,89.79611,14.25056
BGR,1972,104.00017,90.79491,15.5041
BGR,1973,101.80757,92.04535,17.13919
BGR,1974,99.55495,93.62369,18.03173
BGR,1975,96.19118,94.94632,19.05385
BGR,1976,98.15102,90.71848,19.43024
BGR,1977,100.28105,93.55718,19.74671
BGR,1978,102.96703,92.06025,21.97376
BGR,1979,103.49345,89.43402,18.23545
BGR,1980,101.23397,89.71346,17.05952
BGR,1981,100.5986,90.16822,16.10189
BGR,1982,103.34317,90.9682,15.63684
BGR,1983,104.48956,91.78655,15.4118
BGR,1984,106.34603,91.98879,15.9854
BGR,1985,107.07598,93.26185,17.02923
BGR,1986,104.715,98.88511,18.70066
BGR,1987,105.6414,100.02612,20.75403
BGR,1988,103.47107,101.70106,22.54715
